# critic re-read of P5-PAINT 16x16 (lane dev :4238, tree = pass5.diff on 74a2b5d9); cols: engine theme op hex on n | vsOff max/p30/median/worst/fracUnder3 | isTheRing delta | sensitivity
## live chromium payload ATQuMDAzMDA2MDgwMGIwZDAwZzA2MDgwMGIwZDAwZzAyMDAwMGIwZDAwZzAyMDA1MDcwZDAwZzAyMDA1MDcwMGEwYzAzMDA2MDgwMGIwZDAwZzA2MDgwMGIwZDAwZzAyMDA1MGIwZDAwZzAyMDA1MDcwMDAwZzAyMDA1MDcwMGEwYzAzMDA2MDgwMGIwZDAwZzAyMDgwMGIwZDAwZzAyMDA1MGIwZDAwZzAyMDA1MDcwMGEwZzAyMDA1MDcwMGEwYzAwMDA2MDgwMGIwZDAwZzAyMDgwMGIwZDAwZzAyMDA1MDcwZDAwZzAyMDA1MDcwMGEwZzAyMDA1MDcwMGEwYzAwZg given 102
webkit dark 1 #3a7bc4 FRAME n=60 | 4.286/4.286/4.286/2.528/0.1 | true 0 | 50%:1.374(52/60) 70%:2.712(2/54) 90%:3.983(0/49) 100%:4.286(0/46)
webkit dark 1 #3a7bc4 paper n=60 | 4.286/4.286/4.286/4.286/0 | true 0 | 50%:1.96(18/60) 70%:3.403(0/60) 90%:3.715(0/60) 100%:4.286(0/60)
webkit dark 1 #2f68aa FRAME n=60 | 3.303/3.28/3.28/3.28/0 | true 0 | 50%:1.224(55/60) 70%:2.203(47/60) 90%:3.28(0/60) 100%:3.28(0/39)
webkit dark 1 #2f68aa paper n=60 | 3.28/3.28/3.28/3.28/0 | true 0 | 50%:1.687(21/60) 70%:2.745(14/60) 90%:2.905(8/60) 100%:3.28(0/60)
webkit dark 1 #306cb0 FRAME n=60 | 3.473/3.473/3.473/3.119/0 | true 0 | 50%:1.133(44/60) 70%:2.299(36/60) 90%:3.033(0/60) 100%:3.473(0/43)
webkit dark 1 #306cb0 paper n=60 | 3.473/3.473/3.473/3.473/0 | true 0 | 50%:1.739(20/60) 70%:2.91(5/60) 90%:3.039(0/60) 100%:3.473(0/60)
## prm chromium payload ATQuMDAzMDA2MDgwMGIwZDAwZzA2MDgwMGIwZDAwZzAyMDAwMGIwZDAwZzAyMDA1MDcwZDAwZzAyMDA1MDcwMGEwYzAzMDA2MDgwMGIwZDAwZzA2MDgwMGIwZDAwZzAyMDA1MGIwZDAwZzAyMDA1MDcwMDAwZzAyMDA1MDcwMGEwYzAzMDA2MDgwMGIwZDAwZzAyMDgwMGIwZDAwZzAyMDA1MGIwZDAwZzAyMDA1MDcwMGEwZzAyMDA1MDcwMGEwYzAwMDA2MDgwMGIwZDAwZzAyMDgwMGIwZDAwZzAyMDA1MDcwZDAwZzAyMDA1MDcwMGEwZzAyMDA1MDcwMGEwYzAwZg given 102
chromium light 0.95 #3a7bc4 FRAME n=60 | 3.972/3.92/3.972/2.812/0.1 | true 1.732 | 50%:1.979(58/60) 70%:2.748(7/54) 90%:3.489(0/46) 100%:3.972(0/38)
chromium light 0.95 #3a7bc4 paper n=60 | 3.972/3.972/3.972/3.92/0 | true 1.732 | 50%:1.918(22/60) 70%:2.787(2/60) 90%:3.4(0/60) 100%:3.972(0/58)
chromium light 0.95 #4589d2 FRAME n=60 | 3.368/3.334/3.368/2.695/0.083 | true 1.732 | 50%:1.698(47/60) 70%:2.452(34/60) 90%:3.006(0/46) 100%:3.368(0/38)
chromium light 0.95 #4589d2 paper n=60 | 3.368/3.368/3.368/3.326/0 | true 1.732 | 50%:1.786(22/60) 70%:2.481(4/60) 90%:2.937(2/60) 100%:3.368(0/58)
chromium light 1 #3a7bc4 FRAME n=60 | 4.289/4.289/4.289/2.98/0.1 | true 0 | 50%:2.068(58/60) 70%:2.893(3/54) 90%:3.819(0/46) 100%:4.289(0/42)
chromium light 1 #3a7bc4 paper n=60 | 4.289/4.289/4.289/4.289/0 | true 0 | 50%:1.933(24/60) 70%:2.934(1/60) 90%:3.716(0/60) 100%:4.289(0/60)
chromium light 1 #4589d2 FRAME n=60 | 3.581/3.581/3.581/2.918/0.033 | true 0 | 50%:1.496(44/60) 70%:2.572(26/60) 90%:3.091(0/46) 100%:3.581(0/42)
chromium light 1 #4589d2 paper n=60 | 3.581/3.581/3.581/3.581/0 | true 0 | 50%:1.786(24/60) 70%:2.599(2/60) 90%:3.159(0/60) 100%:3.581(0/60)
chromium dark 0.95 #3a7bc4 FRAME n=60 | 3.989/3.989/3.989/2.436/0.1 | true 0 | 50%:1.257(58/60) 70%:2.801(6/54) 90%:3.558(0/46) 100%:3.989(0/42)
chromium dark 0.95 #3a7bc4 paper n=60 | 3.989/3.989/3.989/3.989/0 | true 0 | 50%:1.898(22/60) 70%:2.838(2/60) 90%:3.461(0/60) 100%:3.989(0/60)
chromium dark 0.95 #2f68aa FRAME n=60 | 3.132/3.084/3.084/3.084/0 | true 0 | 50%:1.133(54/60) 70%:2.268(45/60) 90%:2.777(10/60) 100%:3.084(0/60)
chromium dark 0.95 #2f68aa paper n=60 | 3.084/3.084/3.084/3.084/0 | true 0 | 50%:1.644(24/60) 70%:2.299(10/60) 90%:2.728(8/60) 100%:3.084(0/60)
chromium dark 0.95 #306cb0 FRAME n=60 | 3.231/3.231/3.231/2.992/0.25 | true 1 | 50%:1.119(58/60) 70%:2.371(48/60) 90%:2.911(22/60) 100%:3.231(0/42)
chromium dark 0.95 #306cb0 paper n=60 | 3.231/3.231/3.231/3.231/0 | true 1 | 50%:1.687(22/60) 70%:2.381(6/60) 90%:2.865(3/60) 100%:3.231(0/60)
chromium dark 1 #3a7bc4 FRAME n=60 | 4.286/4.286/4.286/2.528/0.1 | true 0 | 50%:1.279(57/60) 70%:2.975(1/54) 90%:3.825(0/47) 100%:4.286(0/42)
chromium dark 1 #3a7bc4 paper n=60 | 4.286/4.286/4.286/4.286/0 | true 0 | 50%:1.98(21/60) 70%:3.015(0/60) 90%:3.723(0/60) 100%:4.286(0/60)
chromium dark 1 #2f68aa FRAME n=60 | 3.303/3.28/3.28/3.28/0 | true 0 | 50%:1.138(50/60) 70%:2.377(37/60) 90%:2.956(2/60) 100%:3.28(0/42)
chromium dark 1 #2f68aa paper n=60 | 3.28/3.28/3.28/3.28/0 | true 0 | 50%:1.707(22/60) 70%:2.413(6/60) 90%:2.905(4/60) 100%:3.28(0/60)
chromium dark 1 #306cb0 FRAME n=60 | 3.473/3.473/3.473/3.119/0 | true 0 | 50%:1.118(49/60) 70%:2.484(36/60) 90%:3.033(0/60) 100%:3.473(0/42)
chromium dark 1 #306cb0 paper n=60 | 3.473/3.473/3.473/3.473/0 | true 0 | 50%:1.759(22/60) 70%:2.527(2/60) 90%:3.073(0/60) 100%:3.473(0/60)
