payloads ATMuMDYxODA5Nz · ATMuMDAzOTI4Nz

== forced  (cell: LINE med/<3 @cov.5 · @.9 | PAPER med/<3 @.5 · @.9 | offFrame | computed t:f)
P0 webkit   dark  canvas  rgb(0, 0, 0)         | 1.08/1 · 1.08/1 | — · — | 0 | 1 frame rgb(0, 0, 0) paper 255,255,255
P0 webkit   dark  crayon  rgb(0, 0, 0)         | 1.08/1 · 1.08/1 | — · — | 0 | 1 frame rgb(0, 0, 0) paper 255,255,255
P0 webkit   dark  control rgb(124, 58, 237)    | 3.191/0.174 · 3.191/0.006 | — · — | 0 | 3.685 frame rgb(0, 0, 0) paper 255,255,255
P1 chromium light canvas  rgb(0, 0, 0)         | 1.08/1 · 1.08/1 | — · — | 0 | 1 frame rgb(0, 0, 0) paper 255,255,255
P1 chromium light crayon  rgb(0, 0, 0)         | 1.08/1 · 1.08/1 | — · — | 0 | 1 frame rgb(0, 0, 0) paper 255,255,255
P1 chromium light control rgb(139, 92, 246)    | 4.24/0.096 · 4.24/0 | — · — | 0 | 4.959 frame rgb(0, 0, 0) paper 255,255,255
P1 chromium dark  canvas  rgb(0, 0, 0)         | 1.08/1 · 1.08/1 | — · — | 0 | 1 frame rgb(0, 0, 0) paper 255,255,255
P1 chromium dark  crayon  rgb(0, 0, 0)         | 1.08/1 · 1.08/1 | — · — | 0 | 1 frame rgb(0, 0, 0) paper 255,255,255
P1 chromium dark  control rgb(124, 58, 237)    | 3.191/0.205 · 3.191/0.009 | — · — | 0 | 3.685 frame rgb(0, 0, 0) paper 255,255,255
P1 webkit   light canvas  rgb(0, 0, 0)         | 1.08/1 · 1.08/1 | — · — | 0 | 1 frame rgb(0, 0, 0) paper 255,255,255
P1 webkit   light crayon  rgb(0, 0, 0)         | 1.08/1 · 1.08/1 | — · — | 0 | 1 frame rgb(0, 0, 0) paper 255,255,255
P1 webkit   light control rgb(139, 92, 246)    | 4.251/0.108 · 4.251/0 | — · — | 0 | 4.959 frame rgb(0, 0, 0) paper 255,255,255
P1 webkit   dark  canvas  rgb(0, 0, 0)         | 1.08/1 · 1.08/1 | — · — | 0 | 1 frame rgb(0, 0, 0) paper 255,255,255
P1 webkit   dark  crayon  rgb(0, 0, 0)         | 1.08/1 · 1.08/1 | — · — | 0 | 1 frame rgb(0, 0, 0) paper 255,255,255
P1 webkit   dark  control rgb(124, 58, 237)    | 3.191/0.174 · 3.191/0.006 | — · — | 0 | 3.685 frame rgb(0, 0, 0) paper 255,255,255

== screen  (cell: LINE med/<3 @cov.5 · @.9 | PAPER med/<3 @.5 · @.9 | offFrame | computed t:f)
P0 chromium light canvas  rgb(168, 126, 19)    | 3.505/0.154 · 3.505/0 | 2.97/0.673 · 2.97/0.63 | 0.506 | 4.078 frame rgb(38, 38, 38) paper 253,253,252
P0 chromium light crayon  rgb(168, 126, 19)    | 3.505/0.154 · 3.505/0 | 2.97/0.673 · 2.97/0.63 | 0.506 | 4.078 frame rgb(38, 38, 38) paper 253,253,252
P0 chromium light control rgb(139, 92, 246)    | 2.876/1 · 2.876/1 | 3.177/0.131 · 3.177/0 | 0.505 | 3.574 frame rgb(38, 38, 38) paper 253,253,252
P0 chromium dark  canvas  rgb(121, 101, 15)    | 3.303/0.215 · 3.303/0.023 | 2.572/0.691 · 2.572/0.636 | 0.506 | 3.657 frame rgb(209, 207, 199) paper 19,18,17
P0 chromium dark  crayon  rgb(121, 101, 15)    | 3.303/0.215 · 3.303/0.023 | 2.572/0.691 · 2.572/0.636 | 0.506 | 3.657 frame rgb(209, 207, 199) paper 19,18,17
P0 chromium dark  control rgb(124, 58, 237)    | 3.139/0.223 · 3.139/0.002 | 2.441/0.734 · 2.441/0.677 | 0.505 | 3.653 frame rgb(209, 207, 199) paper 19,18,17
P0 webkit   light canvas  rgb(168, 126, 19)    | 3.505/0.145 · 3.505/0 | 2.97/0.672 · 2.97/0.626 | 0.511 | 4.078 frame rgb(38, 38, 38) paper 253,253,252
P0 webkit   light crayon  rgb(168, 126, 19)    | 3.505/0.145 · 3.505/0 | 2.97/0.672 · 2.97/0.626 | 0.511 | 4.078 frame rgb(38, 38, 38) paper 253,253,252
P0 webkit   light control rgb(139, 92, 246)    | 2.883/0.999 · 2.883/0.999 | 3.17/0.102 · 3.17/0.001 | 0.227 | 3.574 frame rgb(38, 38, 38) paper 253,253,252
P0 webkit   dark  canvas  rgb(121, 101, 15)    | 3.303/0.172 · 3.303/0.008 | 2.572/0.688 · 2.572/0.635 | 0.511 | 3.657 frame rgb(209, 207, 199) paper 19,18,17
P0 webkit   dark  crayon  rgb(121, 101, 15)    | 3.303/0.172 · 3.303/0.008 | 2.572/0.688 · 2.572/0.635 | 0.511 | 3.657 frame rgb(209, 207, 199) paper 19,18,17
P0 webkit   dark  control rgb(124, 58, 237)    | 3.139/0.201 · 3.139/0.019 | 2.441/0.823 · 2.441/0.799 | 0.227 | 3.653 frame rgb(209, 207, 199) paper 19,18,17
P1 chromium light canvas  rgb(168, 126, 19)    | 3.505/0.154 · 3.505/0 | 2.97/0.673 · 2.97/0.63 | 0.506 | 4.078 frame rgb(38, 38, 38) paper 253,253,252
P1 chromium light crayon  rgb(168, 126, 19)    | 3.505/0.154 · 3.505/0 | 2.97/0.673 · 2.97/0.63 | 0.506 | 4.078 frame rgb(38, 38, 38) paper 253,253,252
P1 chromium light control rgb(139, 92, 246)    | 2.876/1 · 2.876/1 | 3.177/0.131 · 3.177/0 | 0.505 | 3.574 frame rgb(38, 38, 38) paper 253,253,252
P1 chromium dark  canvas  rgb(121, 101, 15)    | 3.303/0.215 · 3.303/0.023 | 2.572/0.691 · 2.572/0.636 | 0.506 | 3.657 frame rgb(209, 207, 199) paper 19,18,17
P1 chromium dark  crayon  rgb(121, 101, 15)    | 3.303/0.215 · 3.303/0.023 | 2.572/0.691 · 2.572/0.636 | 0.506 | 3.657 frame rgb(209, 207, 199) paper 19,18,17
P1 chromium dark  control rgb(124, 58, 237)    | 3.139/0.223 · 3.139/0.002 | 2.441/0.734 · 2.441/0.677 | 0.505 | 3.653 frame rgb(209, 207, 199) paper 19,18,17
P1 webkit   light canvas  rgb(168, 126, 19)    | 3.505/0.145 · 3.505/0 | 2.97/0.672 · 2.97/0.626 | 0.511 | 4.078 frame rgb(38, 38, 38) paper 253,253,252
P1 webkit   light crayon  rgb(168, 126, 19)    | 3.505/0.145 · 3.505/0 | 2.97/0.672 · 2.97/0.626 | 0.511 | 4.078 frame rgb(38, 38, 38) paper 253,253,252
P1 webkit   light control rgb(139, 92, 246)    | 2.883/0.999 · 2.883/0.999 | 3.17/0.102 · 3.17/0.001 | 0.227 | 3.574 frame rgb(38, 38, 38) paper 253,253,252
P1 webkit   dark  canvas  rgb(121, 101, 15)    | 3.303/0.172 · 3.303/0.008 | 2.572/0.688 · 2.572/0.635 | 0.511 | 3.657 frame rgb(209, 207, 199) paper 19,18,17
P1 webkit   dark  crayon  rgb(121, 101, 15)    | 3.303/0.172 · 3.303/0.008 | 2.572/0.688 · 2.572/0.635 | 0.511 | 3.657 frame rgb(209, 207, 199) paper 19,18,17
P1 webkit   dark  control rgb(124, 58, 237)    | 3.139/0.201 · 3.139/0.019 | 2.441/0.823 · 2.441/0.799 | 0.227 | 3.653 frame rgb(209, 207, 199) paper 19,18,17
