T9-W7 pass 3 · MRK-ABS R2 — matched-ordinate clearance, ring ink vs rule ink
worst = min over every sampled ordinate of every side of every cell, over all 4 poses.
'straight' = pass-2's model (rule at its nominal coordinate); 'wobbled' = the rule's real path.

### 4x4 · PROTO f=0.86 w=5.4
  tier            kind     worst_u(wobbled) worst_px_desk  neg%   | worst_u(straight) px_desk
  peer            cell        31.307     12.899    0.0%  |    34.261     14.116
  peer            subgrid     27.583     11.364    0.0%  |    32.644     13.449
  peer            frame       16.121      6.642    0.0%  |    19.166      7.896
  hover           cell        30.923     12.740    0.0%  |    33.876     13.957
  hover           subgrid     27.198     11.206    0.0%  |    32.260     13.291
  hover           frame       15.736      6.483    0.0%  |    18.782      7.738
  focus           cell        30.154     12.423    0.0%  |    33.107     13.640
  focus           subgrid     26.429     10.889    0.0%  |    31.490     12.974
  focus           frame       14.967      6.166    0.0%  |    18.012      7.421
  invalid         cell        29.384     12.106    0.0%  |    32.338     13.323
  invalid         subgrid     25.660     10.572    0.0%  |    30.721     12.657
  invalid         frame       14.198      5.850    0.0%  |    17.243      7.104
  invalid+focus   cell        29.000     11.948    0.0%  |    31.953     13.165
  invalid+focus   subgrid     25.275     10.413    0.0%  |    30.336     12.499
  invalid+focus   frame       13.813      5.691    0.0%  |    16.858      6.946

### 4x4 · HEAD  f=1.00 r=0.4
  tier            kind     worst_u(wobbled) worst_px_desk  neg%   | worst_u(straight) px_desk
  peer            cell        19.970      8.228    0.0%  |    23.694      9.762
  peer            subgrid     13.794      5.683    0.0%  |    22.161      9.131
  peer            frame        4.017      1.655    0.0%  |     8.306      3.422
  hover           cell        19.585      8.069    0.0%  |    23.310      9.604
  hover           subgrid     13.410      5.525    0.0%  |    21.777      8.972
  hover           frame        3.632      1.497    0.0%  |     7.922      3.264
  focus           cell        18.816      7.752    0.0%  |    22.540      9.287
  focus           subgrid     12.640      5.208    0.0%  |    21.008      8.655
  focus           frame        2.863      1.180    0.0%  |     7.152      2.947
  invalid         cell        18.047      7.435    0.0%  |    21.771      8.970
  invalid         subgrid     11.871      4.891    0.0%  |    20.238      8.338
